Arup

Steel Design
Vieerendeel Roof
Example

File Steel_Design_Complex.gwb
Exported 04/12/2014 13:36:00

GSA 8.7.0.36 64-bit Copyright © Oasys 1985-2014

Beam Derived Stresses
Stresses are calculated only for elements that have unmodified Area, Iyy and Izz or for which
the 'Stress Calc. Basis' is specified as 'Section'.
The 'Stress Calc. Basis' is reported only for sections that have modified Area, Iyy or Izz.

+ve stresses:  tensile

SEy and SEz are the maximum elastic shear stresses.  (Refer to the GSA manual for details.)

Torsional stress:  St = Mxx/Ct
- where Ct is the 'torsion modulus'.  (Refer to the GSA manual for details.)

Von Mises stress:  This is calculated assuming the maximum through thickness stress and torsional stress coexist.
In most cases this is an over-estimate of the von Mises stress.

Case list:  C3 : ULS3

START_TABLE Beam Derived Stresses
Elem	Case	Stress Calc. Basis	Pos	SEy	SEz	St	Von Mises
				[Pa]	[Pa]	[Pa]	[Pa]
215	C3		514	4.344E+6	-4.035E+6	-298800.	43.38E+6
			535	4.344E+6	-4.035E+6	-298800.	42.85E+6
216	C3		514	-3.951E+6	3.643E+6	70990.	116.2E+6
			515	-3.951E+6	3.643E+6	70990.	85.75E+6
218	C3		515	4.643E+6	-3.327E+6	-243400.	38.73E+6
			536	4.643E+6	-3.327E+6	-243400.	33.59E+6
219	C3		515	-3.916E+6	9.828E+6	447900.	140.1E+6
			516	-3.916E+6	9.828E+6	447900.	90.85E+6
221	C3		516	4.800E+6	-1.486E+6	-607900.	39.73E+6
			537	4.800E+6	-1.486E+6	-607900.	27.98E+6
222	C3		516	-3.604E+6	19.36E+6	1.759E+6	171.0E+6
			517	-3.604E+6	19.36E+6	1.759E+6	118.4E+6
224	C3		517	4.827E+6	720900.	-1.691E+6	48.47E+6
			538	4.827E+6	720900.	-1.691E+6	54.86E+6
225	C3		517	-3.003E+6	30.91E+6	4.992E+6	200.7E+6
			518	-3.003E+6	30.91E+6	4.992E+6	149.4E+6
227	C3		518	4.806E+6	5.863E+6	-5.229E+6	59.28E+6
			539	4.806E+6	5.863E+6	-5.229E+6	108.2E+6
228	C3		518	-2.202E+6	45.28E+6	12.12E+6	233.2E+6
			519	-2.202E+6	45.28E+6	12.12E+6	214.2E+6
230	C3		519	5.079E+6	25.91E+6	-17.27E+6	144.6E+6
			540	5.079E+6	25.91E+6	-17.27E+6	255.7E+6
231	C3		519	-1.268E+6	53.99E+6	19.25E+6	271.2E+6
			520	-1.268E+6	53.99E+6	19.25E+6	327.1E+6
233	C3		520	6.956E+6	74.60E+6	4.268E+6	372.2E+6
			541	6.956E+6	74.60E+6	4.268E+6	521.2E+6
234	C3		520	-4.367E+6	35.75E+6	-7.086E+6	178.3E+6
			521	-4.367E+6	35.75E+6	-7.086E+6	325.7E+6
236	C3		521	7.884E+6	22.16E+6	3.730E+6	129.0E+6
			542	7.884E+6	22.16E+6	3.730E+6	218.5E+6
237	C3		521	-10.57E+6	-32.49E+6	-1.564E+6	323.1E+6
			522	-10.57E+6	-32.49E+6	-1.564E+6	195.3E+6
239	C3		522	9.465E+6	53.13E+6	3.042E+6	290.4E+6
			543	9.465E+6	53.13E+6	3.042E+6	411.1E+6
240	C3		522	-11.46E+6	-38.87E+6	-18.75E+6	278.2E+6
			523	-11.46E+6	-38.87E+6	-18.75E+6	266.6E+6
242	C3		523	8.475E+6	17.28E+6	16.89E+6	130.2E+6
			544	8.475E+6	17.28E+6	16.89E+6	206.4E+6
243	C3		523	-8.617E+6	-27.72E+6	-12.39E+6	162.6E+6
			524	-8.617E+6	-27.72E+6	-12.39E+6	205.7E+6
245	C3		524	6.481E+6	648400.	7.476E+6	78.53E+6
